"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","FlowerX","FlowerY","FlowerZ","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops"
"1","1","Test","Y","NA","NA",18.25315907,-471.7771295,5084.747588,36.1949603425074,1.39358799155825,0.139131904800467,1539.41624134877,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-15.83146655,-470.3187978,5072.656818,33.3330829232459,-1.01402027626279,-0.122202658997224,1526.63288559629,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-41.55017736,-464.9258284,5093.164334,63.7912574937082,2.3862190299142,0.052250508976376,1543.02653971253,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-32.55928277,-457.906823,5030.401113,0,1.42851330695737,0.110254074442762,1482.66706745767,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
"1","1","Test","Y","NA","NA",-32.55928277,-457.906823,5030.401113,3.23656724548569,0.60665038339183,-0.63112937838072,1482.66706745767,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
"1","1","Test","Y","NA","NA",-30.41247459,-455.997064,5031.890879,0,-0.60665038339183,0.63112937838072,1483.2937388271,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
"1","1","Test","Y","NA","NA",-30.41247459,-455.997064,5031.890879,40.9526279301095,-1.51092496548252,-0.174508157110546,1483.2937388271,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-27.9992665,-448.8867137,4991.6325,25.6119220942895,-0.0423822671129273,-0.393245729744672,1443.61129905597,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-27.62163165,-435.1141668,4970.042111,91.3023456206414,-0.149790840113677,-0.00390865678298236,1418.30532737084,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-37.75087887,-385.7167675,4893.927634,56.4684401634109,-0.718101534943679,-0.261049106110975,1328.70935653418,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-66.30667549,-343.9437486,4868.862397,23.8858000686337,-0.912452222447153,0.0362613659499871,1289.64241903907,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-82.70169328,-326.8683045,4872.050507,80.2754180830492,1.78006531542361,0.719250550280582,1286.6858965744,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-81.32435117,-320.6772175,4792.026035,36.8036668720332,-2.48910992236761,0.0281651032760391,1210.00613012372,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-104.1425826,-318.8732864,4820.84589,3.42373216252303,-0.690901355363188,-1.01114139437883,1236.87655569819,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
"1","1","Test","Y","NA","NA",-104.1070978,-315.8862803,4822.518755,0,-1.54958751477244,1.0601760246214,1237.3346839109,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
"1","1","Test","Y","NA","NA",-104.1070978,-315.8862803,4822.518755,21.3742835588087,-2.82267273594089,-0.803332746172708,1237.3346839109,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-118.1991871,-300.5037631,4817.865672,38.1025768813911,1.33013211718318,0.490335641748443,1228.16999247993,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-115.3652056,-288.7715413,4781.725253,5.68854894027951,3.04369676911011,-0.747794705279801,1190.12291943516,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"N"
"1","1","Test","Y","NA","NA",-115.3106675,-283.806904,4784.50176,0,-1.5511561503524,1.06079180970407,1190.94975351148,-48.77907218,136.090078,3672.017429,27.9068205,203.2600884,3939.15878,221.8919678,200.3985837,3725.844464,"Y"
