ID,Expt,LeftLMx,LeftLMy,LeftLMz,RightLMx,RightLMy,RightLMz,Flowerx,Flowery,Flowerz,Inx,Iny,Inz,Outx,Outy,Outz,Testx,Testy,Testz
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.00508996,-4.102001715,3948.659663,NA,NA,NA,-32.55928277,-457.906823,5030.401113
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.60766031,4.365578573,3906.520195,NA,NA,NA,-32.55928277,-457.906823,5030.401113
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.20413296,17.4694816,3889.95003,NA,NA,NA,-30.41247459,-455.997064,5031.890879
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.86688465,21.94531581,3808.390908,NA,NA,NA,-30.41247459,-455.997064,5031.890879
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.81921421,65.82177594,3773.511272,NA,NA,NA,-27.9992665,-448.8867137,4991.6325
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.48760835,71.41927111,3707.399201,NA,NA,NA,-27.62163165,-435.1141668,4970.042111
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.9875234,87.58464569,3701.342008,NA,NA,NA,-37.75087887,-385.7167675,4893.927634
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.05018,99.47140534,3695.265475,NA,NA,NA,-66.30667549,-343.9437486,4868.862397
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.05018,99.47140534,3695.265475,NA,NA,NA,-82.70169328,-326.8683045,4872.050507
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.05018,99.47140534,3695.265475,NA,NA,NA,-81.32435117,-320.6772175,4792.026035
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.05018,99.47140534,3695.265475,NA,NA,NA,-104.1425826,-318.8732864,4820.84589
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.05018,99.47140534,3695.265475,NA,NA,NA,-104.1070978,-315.8862803,4822.518755
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.71568498,104.4639737,3681.215325,NA,NA,NA,-104.1070978,-315.8862803,4822.518755
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.92484143,105.7961379,3653.065957,NA,NA,NA,-118.1991871,-300.5037631,4817.865672
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.20695991,110.1060922,3675.589795,NA,NA,NA,-115.3652056,-288.7715413,4781.725253
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.20695991,110.1060922,3675.589795,NA,NA,NA,-115.3106675,-283.806904,4784.50176
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.20695991,110.1060922,3675.589795,NA,NA,NA,-115.3106675,-283.806904,4784.50176
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.20695991,110.1060922,3675.589795,NA,NA,NA,-115.3106675,-283.806904,4784.50176
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.20695991,110.1060922,3675.589795,NA,NA,NA,-115.3106675,-283.806904,4784.50176
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.1295283,-274.685357,4742.078168
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.7355333,-255.6065192,4730.382526
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.1944326,-227.3967909,4742.676904
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.4192385,-192.5983958,4668.707794
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.6275773,-169.7528186,4665.180055
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.56737374,-147.5264183,4640.027761
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.44541111,-130.4854611,4583.760807
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.77408982,-127.6080726,4535.88011
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.44551285,-130.2507122,4477.635349
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.61646072,-125.2061217,4525.076876
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.7111756,-124.7308837,4537.450293
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.7111756,-124.7308837,4537.450293
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.53778309,-124.0090062,4519.693418
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.3765933,-118.4362617,4470.253507
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.25941239,-97.84600872,4434.780726
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.418199945,-54.33085727,4417.677294
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.54082967,-43.95717585,4371.88696
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.59263084,-35.61195093,4376.859481
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.96259098,-38.86587281,4327.655581
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.36823581,-46.56846633,4302.998583
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.82953355,-49.23796306,4292.654238
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.36823581,-46.56846633,4302.998583
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.81065502,-47.11560381,4324.254564
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2582321,-46.43242348,4297.713388
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.33036503,-44.6091139,4298.670012
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.81938691,-40.18529431,4269.081725
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.22025224,-33.43555595,4236.298157
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.3659398,-12.03374764,4205.761278
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.5382768,-5.697246195,4167.824656
