"Exp","ID","Section","LM","NearFar","Site","X","Y","Z","step","yaw","pitch","CurrFlowerDist","flowerx","flowery","flowerz","LeftLMx","LeftLMy","LeftLMz","RightLMx","RightLMy","RightLMz","stops","stops"
1,1,"Test","Y",NA,NA,-42.77408982,127.6080726,4535.88011,58.6471364558221,-0.527564642200665,-0.311107124467277,903.233915476778,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-36.44551285,130.2507122,4477.635349,48.1064130342169,2.85184986819148,2.85793316859959,848.592815333263,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-42.61646072,125.2061217,4525.076876,12.3829023383463,-0.688768565703873,0.127308493697829,892.201827992756,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-42.7111756,124.7308837,4537.450293,0,-1.7675186111326,-1.53165298374933,903.901784223408,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y"
1,1,"Test","Y",NA,NA,-42.7111756,124.7308837,4537.450293,17.7723881865425,1.3350654763417,-1.52901096126548,903.901784223408,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-42.53778309,124.0090062,4519.693418,50.1330284401267,-0.599774354631231,0.124693105279958,886.704612381323,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-36.3765933,118.4362617,4470.253507,43.7127655075729,0.202198788548714,0.457608372164954,837.925005775738,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,-21.25941239,97.84600872,4434.780726,55.3792060777473,0.0347590382528657,0.632734075548498,798.30524963521,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,8.418199945,54.33085727,4417.677294,51.901625215254,-0.533775323757368,-0.766650009187996,771.712572658669,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,30.54082967,43.95717585,4371.88696,34.4498229987042,-0.191153501508515,1.22547235704388,726.997951077291,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,63.59263084,35.61195093,4376.859481,56.8899500892414,-0.361517140011779,-1.18979042340002,734.105785732455,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,91.96259098,38.86587281,4327.655581,25.8389387431929,-1.53360970174211,-0.22222258058964,693.021779477997,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,91.36823581,46.56846633,4302.998583,11.229971875095,0.990849023325209,0.0961739659259937,671.671518271223,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,94.82953355,49.23796306,4292.654238,11.229971875095,3.14159265358979,2.3419841969597,663.445523859009,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,91.36823581,46.56846633,4302.998583,21.2676238083094,2.9077211599917,0.366713661894537,671.671518271223,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
1,1,"Test","Y",NA,NA,91.81065502,47.11560381,4324.254564,26.5557136960919,3.14159133112411,-3.07541156530499,691.912619855026,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N"
